%%% Global Salinity-Contrast (0-2000m) time series from 1940 to present (v1, Monthly)
%%% Cheng L., K. E. Trenberth, N. Gruber, J. P. Abraham, J. Fasullo, G. Li, M. E. Mann, X. Zhao, Jiang Zhu, 2020: Improved estimates of changes in upper ocean salinity and the hydrological cycle. Journal of Climate. In press, doi: https://doi.org/10.1175/JCLI-D-20-0366.1.

%%% Update date: August 2020 by L.Cheng
%%% unit of Salinity:  Absolute Salinity (g/kg)
%%% Baseline: 2008-2018

%%% Link to Ocean Gridded Salinity Analysis: 
%%% ftp://ds1.iap.ac.cn/ftp/cheng/CZ16_v0_IAP_Salinity_gridded_1month_netcdf/
%%% OR:  https://pan.cstcloud.cn/s/EEn0iwdSaI


[year]  [global mean SC]  [2s.d. error range] [smoothed global mean SC, by LOWESS with span width of 240 month]
1960.000  -0.01141  0.00597  -0.01204
1960.083  -0.01064  0.00599  -0.01206
1960.167  -0.01123  0.00605  -0.01208
1960.250  -0.01124  0.00602  -0.01209
1960.333  -0.01079  0.00598  -0.01211
1960.417  -0.01099  0.00593  -0.01212
1960.500  -0.01136  0.00589  -0.01214
1960.583  -0.01151  0.00607  -0.01215
1960.667  -0.01109  0.00612  -0.01217
1960.750  -0.01028  0.00616  -0.01218
1960.833  -0.00913  0.00620  -0.01220
1960.917  -0.00919  0.00625  -0.01221
1961.000  -0.00929  0.00617  -0.01223
1961.083  -0.01002  0.00628  -0.01224
1961.167  -0.01079  0.00630  -0.01225
1961.250  -0.01080  0.00630  -0.01227
1961.333  -0.01096  0.00628  -0.01228
1961.417  -0.01077  0.00632  -0.01229
1961.500  -0.01084  0.00630  -0.01231
1961.583  -0.01101  0.00640  -0.01232
1961.667  -0.01173  0.00655  -0.01233
1961.750  -0.01209  0.00649  -0.01234
1961.833  -0.01249  0.00644  -0.01236
1961.917  -0.01205  0.00646  -0.01237
1962.000  -0.01079  0.00635  -0.01238
1962.083  -0.01078  0.00629  -0.01239
1962.167  -0.01019  0.00629  -0.01240
1962.250  -0.01074  0.00621  -0.01241
1962.333  -0.01137  0.00620  -0.01242
1962.417  -0.01130  0.00615  -0.01243
1962.500  -0.01161  0.00617  -0.01244
1962.583  -0.01137  0.00623  -0.01245
1962.667  -0.01205  0.00625  -0.01246
1962.750  -0.01229  0.00636  -0.01247
1962.833  -0.01259  0.00640  -0.01248
1962.917  -0.01297  0.00636  -0.01249
1963.000  -0.01217  0.00626  -0.01250
1963.083  -0.01330  0.00630  -0.01251
1963.167  -0.01421  0.00620  -0.01252
1963.250  -0.01434  0.00618  -0.01253
1963.333  -0.01428  0.00621  -0.01254
1963.417  -0.01390  0.00608  -0.01255
1963.500  -0.01381  0.00600  -0.01256
1963.583  -0.01400  0.00606  -0.01257
1963.667  -0.01341  0.00613  -0.01258
1963.750  -0.01322  0.00611  -0.01258
1963.833  -0.01340  0.00609  -0.01259
1963.917  -0.01343  0.00599  -0.01260
1964.000  -0.01351  0.00588  -0.01261
1964.083  -0.01300  0.00598  -0.01262
1964.167  -0.01330  0.00607  -0.01263
1964.250  -0.01359  0.00605  -0.01264
1964.333  -0.01454  0.00601  -0.01265
1964.417  -0.01418  0.00596  -0.01266
1964.500  -0.01392  0.00600  -0.01267
1964.583  -0.01430  0.00610  -0.01268
1964.667  -0.01390  0.00618  -0.01269
1964.750  -0.01413  0.00613  -0.01270
1964.833  -0.01327  0.00617  -0.01271
1964.917  -0.01380  0.00609  -0.01272
1965.000  -0.01324  0.00600  -0.01273
1965.083  -0.01391  0.00601  -0.01274
1965.167  -0.01437  0.00601  -0.01274
1965.250  -0.01406  0.00592  -0.01275
1965.333  -0.01401  0.00587  -0.01276
1965.417  -0.01445  0.00585  -0.01277
1965.500  -0.01477  0.00582  -0.01278
1965.583  -0.01466  0.00584  -0.01279
1965.667  -0.01428  0.00583  -0.01280
1965.750  -0.01429  0.00571  -0.01281
1965.833  -0.01449  0.00571  -0.01282
1965.917  -0.01453  0.00575  -0.01283
1966.000  -0.01490  0.00578  -0.01284
1966.083  -0.01430  0.00577  -0.01285
1966.167  -0.01375  0.00587  -0.01286
1966.250  -0.01324  0.00583  -0.01287
1966.333  -0.01329  0.00572  -0.01288
1966.417  -0.01346  0.00569  -0.01289
1966.500  -0.01300  0.00570  -0.01290
1966.583  -0.01321  0.00581  -0.01291
1966.667  -0.01323  0.00588  -0.01292
1966.750  -0.01302  0.00597  -0.01292
1966.833  -0.01215  0.00595  -0.01293
1966.917  -0.01219  0.00598  -0.01294
1967.000  -0.01185  0.00589  -0.01295
1967.083  -0.01158  0.00582  -0.01296
1967.167  -0.01152  0.00592  -0.01296
1967.250  -0.01216  0.00598  -0.01297
1967.333  -0.01239  0.00603  -0.01297
1967.417  -0.01209  0.00604  -0.01298
1967.500  -0.01330  0.00593  -0.01299
1967.583  -0.01376  0.00591  -0.01299
1967.667  -0.01481  0.00593  -0.01299
1967.750  -0.01433  0.00586  -0.01300
1967.833  -0.01424  0.00584  -0.01300
1967.917  -0.01459  0.00588  -0.01301
1968.000  -0.01422  0.00571  -0.01301
1968.083  -0.01375  0.00570  -0.01301
1968.167  -0.01384  0.00577  -0.01301
1968.250  -0.01336  0.00572  -0.01301
1968.333  -0.01299  0.00556  -0.01301
1968.417  -0.01345  0.00552  -0.01301
1968.500  -0.01284  0.00555  -0.01301
1968.583  -0.01318  0.00552  -0.01301
1968.667  -0.01277  0.00553  -0.01301
1968.750  -0.01274  0.00547  -0.01301
1968.833  -0.01269  0.00545  -0.01300
1968.917  -0.01286  0.00547  -0.01300
1969.000  -0.01274  0.00535  -0.01299
1969.083  -0.01305  0.00533  -0.01299
1969.167  -0.01294  0.00534  -0.01298
1969.250  -0.01315  0.00534  -0.01298
1969.333  -0.01233  0.00538  -0.01297
1969.417  -0.01183  0.00535  -0.01296
1969.500  -0.01192  0.00532  -0.01295
1969.583  -0.01135  0.00533  -0.01295
1969.667  -0.01183  0.00539  -0.01294
1969.750  -0.01212  0.00531  -0.01293
1969.833  -0.01179  0.00541  -0.01292
1969.917  -0.01168  0.00545  -0.01291
1970.000  -0.01135  0.00534  -0.01289
1970.083  -0.01159  0.00537  -0.01288
1970.167  -0.01186  0.00542  -0.01287
1970.250  -0.01187  0.00537  -0.01286
1970.333  -0.01181  0.00543  -0.01284
