sc,ssta_mean
-0.01141,-0.26944825
-0.01064,-0.29023015
-0.01123,-0.2671949
-0.01124,-0.30433202
-0.01079,-0.24832706
-0.01099,-0.31482938
-0.01136,-0.24805059
-0.01151,-0.18398204
-0.01109,-0.17895426
-0.01028,-0.17460439
-0.00913,-0.22594935
-0.00919,-0.21608816
-0.00929,-0.21365772
-0.01002,-0.19098076
-0.01079,-0.1918091
-0.0108,-0.21950902
-0.01096,-0.22520225
-0.01077,-0.23537952
-0.01084,-0.24651442
-0.01101,-0.20521556
-0.01173,-0.20493934
-0.01209,-0.21208215
-0.01249,-0.2241734
-0.01205,-0.26700795
-0.01079,-0.2593387
-0.01078,-0.2793924
-0.01019,-0.26277444
-0.01074,-0.2798947
-0.01137,-0.23756373
-0.0113,-0.24998781
-0.01161,-0.21912305
-0.01137,-0.23911451
-0.01205,-0.18617976
-0.01229,-0.21274747
-0.01259,-0.25788996
-0.01297,-0.27049384
-0.01217,-0.30990142
-0.0133,-0.30677155
-0.01421,-0.3111205
-0.01434,-0.28622139
-0.01428,-0.2456909
-0.0139,-0.25469783
-0.01381,-0.2833231
-0.014,-0.1895123
-0.01341,-0.22365448
-0.01322,-0.25575355
-0.0134,-0.22560973
-0.01343,-0.2474298
-0.01351,-0.2813598
-0.013,-0.31446964
-0.0133,-0.33461002
-0.01359,-0.37257606
-0.01454,-0.34744823
-0.01418,-0.30963367
-0.01392,-0.35357788
-0.0143,-0.37961003
-0.0139,-0.35738283
-0.01413,-0.39184588
-0.01327,-0.43377522
-0.0138,-0.44195306
-0.01324,-0.35239688
-0.01391,-0.34580183
-0.01437,-0.369327
-0.01406,-0.35986573
-0.01401,-0.39043668
-0.01445,-0.34455708
-0.01477,-0.36395094
-0.01466,-0.31371567
-0.01428,-0.27739522
-0.01429,-0.32149857
-0.01449,-0.3288182
-0.01453,-0.32950032
-0.0149,-0.30462748
-0.0143,-0.32888365
-0.01375,-0.32087052
-0.01324,-0.3316862
-0.01329,-0.33650818
-0.01346,-0.32139668
-0.013,-0.2970811
-0.01321,-0.33805025
-0.01323,-0.32686156
-0.01302,-0.29897195
-0.01215,-0.26376536
-0.01219,-0.25895223
-0.01185,-0.30942234
-0.01158,-0.31861293
-0.01152,-0.3007585
-0.01216,-0.30677634
-0.01239,-0.23863256
-0.01209,-0.24942163
-0.0133,-0.29419503
-0.01376,-0.25520256
-0.01481,-0.30945173
-0.01433,-0.26092163
-0.01424,-0.30386588
-0.01459,-0.34732535
-0.01422,-0.39815623
-0.01375,-0.38220355
-0.01384,-0.39823332
-0.01336,-0.36122018
-0.01299,-0.3175998
-0.01345,-0.30444273
-0.01284,-0.3391311
-0.01318,-0.27894324
-0.01277,-0.26119712
-0.01274,-0.20802025
-0.01269,-0.23085581
-0.01286,-0.1945879
-0.01274,-0.14099792
-0.01305,-0.14494509
-0.01294,-0.12341201
-0.01315,-0.12633756
-0.01233,-0.1354191
-0.01183,-0.24832413
-0.01192,-0.29803544
-0.01135,-0.22934736
-0.01183,-0.2081498
-0.01212,-0.2110409
-0.01179,-0.21086416
-0.01168,-0.18741544
-0.01135,-0.16356242
-0.01159,-0.19670664
-0.01186,-0.19979307
-0.01187,-0.19785282
-0.01181,-0.24539681
-0.01162,-0.32105097
-0.01175,-0.34763688
-0.01184,-0.2551835
-0.01262,-0.25476038
-0.01289,-0.20335962
-0.01328,-0.23322546
-0.01325,-0.25547957
-0.01358,-0.26459336
-0.01382,-0.32760698
-0.01379,-0.3236017
-0.01392,-0.31031406
-0.01445,-0.30486915
-0.0144,-0.34629813
-0.0136,-0.3141344
-0.01325,-0.28279176
-0.01266,-0.32553488
-0.01278,-0.30304348
-0.01305,-0.3467151
-0.01351,-0.35790962
-0.01416,-0.22503708
-0.0141,-0.18486784
-0.01443,-0.22891036
-0.01489,-0.18532065
-0.01494,-0.25711197
-0.01486,-0.22049111
-0.01422,-0.22042792
-0.0146,-0.22486527
-0.01435,-0.22040136
-0.0139,-0.17735265
-0.01407,-0.12548023
-0.01418,-0.036770564
-0.01371,-0.04577364
-0.01388,-0.0739024
-0.0137,-0.10619899
-0.01352,-0.12351378
-0.0133,-0.14946498
-0.0131,-0.19644572
-0.01336,-0.17379472
-0.0136,-0.18681647
-0.01344,-0.15971115
-0.01342,-0.19601466
-0.01313,-0.23211738
-0.01232,-0.33767596
-0.0126,-0.290034
-0.01266,-0.32422864
-0.0126,-0.33036545
-0.01226,-0.33562425
-0.01153,-0.29686755
-0.01221,-0.32001728
-0.01209,-0.29762194
-0.01208,-0.24276653
-0.01153,-0.24352576
-0.01083,-0.24956892
-0.01037,-0.25371087
-0.01035,-0.24956049
-0.01077,-0.21730754
-0.01121,-0.18745336
-0.01055,-0.2029936
-0.01077,-0.23911908
-0.01079,-0.24149956
-0.01088,-0.27663794
-0.01109,-0.26288396
-0.01102,-0.23317729
-0.01064,-0.23608264
-0.01021,-0.30657068
-0.01074,-0.32825774
-0.01129,-0.348464
-0.01086,-0.3286733
-0.01116,-0.2725742
-0.01008,-0.27235284
-0.01076,-0.2688863
-0.01084,-0.32350996
-0.01135,-0.281528
-0.01109,-0.2498933
-0.01032,-0.2331248
-0.01015,-0.25998467
-0.01071,-0.18508448
-0.01153,-0.1303598
-0.01133,-0.043550808
-0.01121,0.0067793694
-0.01165,-0.018899543
-0.01132,-0.097870454
-0.01012,-0.108651035
-0.01027,-0.12256246
-0.01125,-0.165804
-0.01126,-0.16978242
-0.01113,-0.13814943
-0.01158,-0.09037241
-0.01053,-0.12446682
-0.01048,-0.15912883
-0.01036,-0.18373354
-0.01005,-0.13788661
-0.00915,-0.15470634
-0.0083,-0.13401622
-0.00825,-0.17709507
-0.00872,-0.20595124
-0.00943,-0.2017342
-0.01047,-0.26701286
-0.01108,-0.23893026
-0.01187,-0.20395455
-0.01153,-0.1943274
-0.01152,-0.14056182
-0.01201,-0.12912932
-0.01139,-0.106558934
-0.01222,-0.1041662
-0.01297,-0.09502965
-0.01286,-0.08193587
-0.01243,-0.12613556
-0.01233,-0.094332546
-0.01274,-0.11505617
-0.01213,-0.07658969
-0.01107,-0.060580615
-0.01163,-0.039563112
-0.01093,-0.025383862
-0.01069,0.0030119366
