date,precipitation,temperature,PET,spi_g3,spi_g6,spi_g12,spi_g24,spi_p3,spi_p6,spi_p12,spi_p24,spei_g3,spei_g6,spei_g12,spei_g24,spei_p3,spei_p6,spei_p12,spei_p24,pdsi,phdi,pmdi,scpdsi,zindex
1896-12-01,43.65039,10.25,15.436143,-0.5138073,0.4978646,-0.15248741,0.056428168,-0.5791199,0.44970968,-0.26373017,-0.07606799,-0.53418446,0.34936863,-0.39567447,0.12212696,-0.45972037,0.3458731,-0.43896276,0.006990075,-2.829379,-2.7425141,-2.2992504,-2.7425141,0.9627483
1897-01-01,44.33008,5.75,4.602221,-0.58417815,0.42954546,-0.3706915,0.09646644,-0.7457157,0.37816718,-0.49008697,-0.02705242,-0.64312863,0.3607995,-0.5617525,0.1781791,-0.601604,0.38910052,-0.61405754,0.06089438,-2.5673826,-2.4892428,-2.027468,-2.4892428,-0.08762299
1897-02-01,4.2001953,12.5,23.140656,-0.680471,0.33554727,-0.7815989,-0.13365404,-0.7041537,0.25452673,-0.8155536,-0.23782256,-0.65993136,0.28256634,-0.91012925,-0.084827855,-0.6142681,0.30747747,-0.90517724,-0.17481911,-2.9830241,-2.9078074,-2.9078074,-2.9078074,-2.0248694
1897-03-01,90.549805,16.950195,52.99242,-0.10773025,-0.51328105,-0.4766556,0.109161116,-0.13877763,-0.55682135,-0.51525646,0.02123374,-0.34138715,-0.5583982,-0.7540573,0.079720914,-0.22205134,-0.49493092,-0.7460466,0.010564967,-2.2105896,-2.0281389,-1.2485263,-2.0281389,1.7404928
1897-04-01,60.98047,19.049805,71.03545,-0.24427599,-0.6937838,-0.7425303,0.08613329,-0.27868256,-0.7347726,-0.8117349,-0.020821117,-0.47538173,-0.7116999,-0.94515234,0.065095484,-0.42082828,-0.6810427,-0.9318604,0.0068347226,-2.1894064,-2.0241919,-1.4538479,-2.0241919,-0.6148537
1897-05-01,59.01953,23.019531,116.64813,-0.07357052,-0.56143653,-0.39016277,-0.3653742,-0.18366632,-0.57980067,-0.51169205,-0.455652,-0.22530216,-0.56393343,-0.53110397,-0.37143013,-0.16879702,-0.50056916,-0.5674581,-0.40363726,-2.316406,-2.1655517,-1.9535065,-2.1655517,-1.0495546
1897-06-01,56.58008,27.820312,173.85402,-0.8279157,-0.6882546,-0.13325794,-0.48755673,-0.8230773,-0.68758786,-0.23913316,-0.56195515,-0.7462165,-0.7125831,-0.25683713,-0.5507051,-0.69576466,-0.65535635,-0.29173326,-0.57415926,-2.553224,-2.4143245,-2.4143245,-2.4143245,-1.4154747
1897-07-01,8.400391,29.280273,197.60565,-1.3226175,-1.0930784,-0.3504723,-0.54958695,-1.2634704,-1.0998973,-0.3954824,-0.6315861,-1.1143438,-1.0571475,-0.44009417,-0.62942564,-1.0979928,-1.0449497,-0.42571843,-0.65972376,-2.6202805,-2.4932003,-2.4932003,-2.4932003,-0.9826536
1897-08-01,86.0,28.79004,181.09601,-0.29388925,-0.39141652,-0.032779284,-0.4932447,-0.37323716,-0.38795376,-0.14837067,-0.58563066,-0.5698496,-0.5473485,-0.1619097,-0.5895767,-0.52225566,-0.4958369,-0.2069208,-0.63396245,-2.0872917,-1.9082693,-1.4212542,0.32813144,0.9843943
1897-09-01,84.44043,25.030273,120.955826,0.089806035,-0.64925444,-0.79590845,-0.33145362,-0.030578444,-0.7099278,-0.8594272,-0.45232087,-0.15262885,-0.65741503,-0.7738753,-0.42814434,-0.15337522,-0.6421496,-0.7816444,-0.5062543,-1.7494768,-1.5585349,-0.82504004,0.4475166,0.4595481
1897-10-01,65.62012,21.580078,84.043846,0.25618932,-0.69814783,-0.9265062,-0.3714674,0.22626708,-0.7658787,-0.98427176,-0.4955271,-0.009379417,-0.824175,-0.97831285,-0.5484911,0.06790061,-0.82725394,-0.9722188,-0.6207153,-1.5657394,-1.3935891,-0.62029326,0.4058391,0.01325005
